1629	1	1
7052	1	1
7709	1	1
2384	2	1
3056	2	1
3662	2	1
3673	2	1
5037	2	1
5391	2	1
5658	2	1
7152	2	1
9562	2	1
2639	3	1
3060	3	1
3653	3	1
5663	3	1
6451	3	1
6682	3	1
7536	3	1
2473	4	1
3349	4	1
6660	4	1
7763	4	1
9432	4	1
2175	5	1
4041	5	1
7700	5	1
324	6	1
566	6	1
836	6	1
3303	6	1
3513	6	1
4453	6	1
4762	6	1
5608	6	1
6611	6	1
8436	6	1
3069	7	1
3070	7	1
3251	7	1
3662	7	1
4086	7	1
4754	7	1
5165	7	1
5589	7	1
8837	7	1
161	8	1
1313	8	1
2755	8	1
4178	8	1
4612	8	1
6070	8	1
7433	8	1
8304	8	1
39	9	1
3051	9	1
3056	9	1
3067	9	1
3662	9	1
3664	9	1
4935	9	1
5239	9	1
2774	10	1
4756	10	1
7302	10	1
7579	10	1
9247	10	1
1905	11	1
9826	11	1
2187	12	1
3793	12	1
6111	12	1
7719	12	1
9875	12	1
980	13	1
1397	13	1
9118	13	1
2780	14	1
6237	14	1
6396	14	1
7343	14	1
8960	14	1
5003	15	1
6038	15	1
1022	16	1
9719	16	1
2611	17	1
7151	17	1
7163	17	1
178	18	1
2703	18	1
5577	19	1
5572	20	1
103	21	1
1684	21	1
237	22	1
394	22	1
3782	22	1
3849	22	1
4392	22	1
7942	22	1
8979	22	1
9286	22	1
4154	23	1
1210	24	1
1947	24	1
3587	24	1
4045	24	1
8560	24	1
903	25	1
8724	25	1
58	26	1
271	26	1
321	26	1
993	26	1
1659	26	1
2078	26	1
2592	26	1
4173	26	1
5156	26	1
5275	26	1
5865	26	1
5991	26	1
6942	26	1
7394	26	1
8642	26	1
747	27	1
802	27	1
2698	27	1
3304	27	1
3490	27	1
4090	28	1
500	29	1
1420	29	1
3283	29	1
8456	29	1
4995	30	1
3037	31	1
6523	31	1
1157	32	1
2238	32	1
2558	32	1
3043	32	1
4025	32	1
6197	32	1
6580	32	1
7062	32	1
8347	32	1
8567	32	1
8768	32	1
9353	32	1
9505	32	1
619	33	1
1688	33	1
2202	33	1
2315	33	1
2825	33	1
3017	33	1
3768	33	1
3979	33	1
4041	33	1
6454	33	1
6671	33	1
7103	33	1
7201	33	1
7339	33	1
7398	33	1
7700	33	1
8249	33	1
8532	33	1
8840	33	1
8983	33	1
9179	33	1
9183	33	1
9353	33	1
1529	34	1
9778	35	1
55	36	1
848	36	1
7494	36	1
8647	36	1
6674	37	1
7996	37	1
462	38	1
4520	38	1
5510	38	1
5748	38	1
9	39	1
3051	39	1
43	40	1
2693	40	1
5037	40	1
5662	40	1
7315	40	1
8661	40	1
1673	41	1
2489	41	1
3704	41	1
3705	41	1
4149	41	1
5602	41	1
6133	41	1
7550	41	1
7557	41	1
7856	41	1
8637	41	1
9717	41	1
392	42	1
454	42	1
852	42	1
1170	42	1
3228	42	1
6459	42	1
8160	42	1
40	43	1
5391	43	1
5662	43	1
8661	43	1
1257	44	1
2206	44	1
4005	44	1
7232	44	1
8364	44	1
9806	44	1
3664	45	1
8577	45	1
7213	46	1
712	47	1
1062	47	1
4687	47	1
4951	47	1
6124	47	1
8770	47	1
8952	47	1
2376	48	1
2824	48	1
3807	48	1
5172	48	1
8294	48	1
1046	49	1
4039	49	1
5837	49	1
8475	49	1
9619	49	1
1056	50	1
1461	50	1
7595	50	1
